C_SU_SETID,Q
C_SU_FORMS
C_SU_ID,%.20g,%.20g,%.20g,%.20g,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f
C_SU_NDIMS,tims,,,,,,,,,,0,190,850,1800
C_SU_NAMES
C_SU_ID,cdp,cdpt,igi,igc,gx,gy,sx,sy,numa,vuma,vnmo,vnmo,vnmo,vnmo
Q,1473,473,21,13,500.00,600.00,339569.57,5540566.74,2473.00,2473.00,2473.00,3333.00,5555.00,6666.00
Q,1493,933,41,13,1000.00,600.00,339819.43,5540133.65,2493.00,2493.00,2493.00,3500.00,4000.00,5000.00
Q,1533,1853,81,13,2000.00,600.00,340319.16,5539267.46,2533.00,2533.00,2533.00,3500.00,4000.00,5000.00
Q,1553,2313,101,13,2500.00,600.00,340569.02,5538834.37,2553.00,2553.00,2553.00,3500.00,4000.00,5000.00
Q,2683,483,21,23,500.00,1100.00,340002.67,5540816.60,3683.00,3683.00,3683.00,3700.00,4000.00,5000.00
Q,2703,943,41,23,1000.00,1100.00,340252.53,5540383.51,3703.00,3703.00,3703.00,3800.00,4000.00,5000.00
Q,2743,1863,81,23,2000.00,1100.00,340752.25,5539517.32,3743.00,3743.00,3743.00,3800.00,4000.00,5500.00
Q,2763,2323,101,23,2500.00,1100.00,341002.11,5539084.23,3763.00,3763.00,3763.00,5000.00,6000.00,8000.00
