C_SU_NAMES
C_SU_ID,cdp,cdpt,igi,igc,gx,gy,sx,sy
Q,21,461,21,1,500.00,0.00,339049.86,5540266.91
Q,41,921,41,1,1000.00,0.00,339299.72,5539833.81
Q,81,1841,81,1,2000.00,0.00,339799.44,5538967.63
Q,101,2301,101,1,2500.00,0.00,340049.31,5538534.54
Q,1473,473,21,13,500.00,600.00,339569.57,5540566.74
Q,1493,933,41,13,1000.00,600.00,339819.43,5540133.65
Q,1533,1853,81,13,2000.00,600.00,340319.16,5539267.46
Q,1553,2313,101,13,2500.00,600.00,340569.02,5538834.37
Q,2683,483,21,23,500.00,1100.00,340002.67,5540816.60
Q,2703,943,41,23,1000.00,1100.00,340252.53,5540383.51
Q,2743,1863,81,23,2000.00,1100.00,340752.25,5539517.32
Q,2763,2323,101,23,2500.00,1100.00,341002.11,5539084.23
