C_SU_MATCH,grnors,gaps,,,,,,,
C_SU_SETID,Q,,,,,,,,
C_SU_FORMS,,,,,,,,,
C_SU_ID,%.2f,%.2f,%.0f,%.0f,%.0f,%.1f,%.1f,%.1f,%.1f
C_SU_NAMES,,,,,,,,,
C_SU_ID,2_grnors_11,12_gaps_21,27_gstat_30,35_gdel_38,39_gut_40,41_gwdep_46,47_gx_55,56_gy_65,66_gelev_71
Q,100,101,-158.4,0,0,0,338889.4,5540745,79.2
Q,100,102,-156.6,0,0,0,338916.1,5540701.2,78.3
Q,100,103,-154.8,0,0,0,338942.3,5540660,77.4
Q,100,104,-153,0,0,0,338969,5540615.4,76.5
Q,100,105,-176,0,0,0,338997.1,5540585.8,88
Q,100,106,-149.4,0,0,0,339024,5540529.4,74.7
Q,100,107,-147.6,0,0,0,339050.3,5540486.4,73.8
Q,100,108,-145.6,0,0,0,339076.8,5540445,72.8
Q,100,109,-143.8,0,0,0,339103,5540401.1,71.9
Q,100,110,-142,0,0,0,339129.5,5540358.3,71
Q,100,111,-140,0,0,0,339158.2,5540314.2,70
Q,100,112,-138.2,0,0,0,339185,5540272.7,69.1
Q,100,113,-136.2,0,0,0,339212.9,5540228.7,68.1
Q,100,114,-134.2,0,0,0,339237.5,5540186,67.1
Q,100,115,-132.4,0,0,0,339266.2,5540142.7,66.2
Q,100,116,-130.4,0,0,0,339292.5,5540099.2,65.2
Q,100,117,-128.4,0,0,0,339320.7,5540057,64.2
Q,100,118,-126.4,0,0,0,339345.7,5540013.5,63.2
Q,100,119,-110,0,0,0,339374.7,5539963.1,55
Q,100,120,-122.4,0,0,0,339400.6,5539927.7,61.2
Q,100,121,-120.4,0,0,0,339426.1,5539883.6,60.2
Q,100,122,-118.2,0,0,0,339454.6,5539840,59.1
Q,100,123,-116.2,0,0,0,339480.4,5539798.3,58.1
Q,100,124,-114,0,0,0,339507,5539755,57
Q,100,125,-112,0,0,0,339536.3,5539711.9,56
Q,100,126,-109.8,0,0,0,339562,5539669.1,54.9
Q,100,127,-107.6,0,0,0,339588.3,5539625.7,53.8
Q,100,128,-105.6,0,0,0,339615.6,5539580.9,52.8
Q,100,129,-103.4,0,0,0,339642.2,5539538.6,51.7
Q,100,130,-101.2,0,0,0,339669.1,5539495.6,50.6
Q,100,131,-98.8,0,0,0,339696.4,5539451.9,49.4
Q,100,132,-96.6,0,0,0,339723.7,5539409.7,48.3
Q,100,133,-94.4,0,0,0,339749.6,5539365.4,47.2
Q,100,134,-92,0,0,0,339777.7,5539321.9,46
Q,100,135,-89.6,0,0,0,339804.8,5539278.6,44.8
Q,100,136,-87.4,0,0,0,339830.5,5539236.1,43.7
Q,100,137,-85,0,0,0,339859.7,5539193.1,42.5
Q,100,138,-82.6,0,0,0,339886.2,5539150.1,41.3
Q,100,139,-80,0,0,0,339913.1,5539105.4,40
Q,100,140,-77.6,0,0,0,339938.8,5539062.1,38.8
Q,100,141,-75,0,0,0,339967,5539018.7,37.5
Q,100,142,-72.4,0,0,0,339992.1,5538975.9,36.2
Q,100,143,-69.8,0,0,0,340019.3,5538932.6,34.9
Q,100,144,-67.2,0,0,0,340046.8,5538889.7,33.6
Q,100,145,-64.6,0,0,0,340074.6,5538846.4,32.3
Q,100,146,-61.8,0,0,0,340100.3,5538801.9,30.9
Q,100,147,-59,0,0,0,340129.7,5538758.3,29.5
Q,100,148,-88,0,0,0,340154.5,5538730.3,44
Q,100,149,-53.4,0,0,0,340181.9,5538672.2,26.7
Q,100,150,-50.4,0,0,0,340210.1,5538628.9,25.2
Q,100,151,-47.4,0,0,0,340236.5,5538584.1,23.7
Q,100,152,-44.2,0,0,0,340264.1,5538541.2,22.1
Q,100,153,-41,0,0,0,340291.5,5538497.3,20.5
Q,100,154,-37.8,0,0,0,340318.6,5538453.9,18.9
Q,100,155,-34.4,0,0,0,340343.2,5538409.6,17.2
Q,200,101,-156.4,0,0,0,338970.8,5540798.6,78.2
Q,200,102,-154.6,0,0,0,339000.5,5540755.4,77.3
Q,200,103,-152.8,0,0,0,339026.2,5540711.4,76.4
Q,200,104,-151,0,0,0,339053.5,5540668.4,75.5
Q,200,105,-149.2,0,0,0,339078.7,5540626,74.6
Q,200,106,-147.4,0,0,0,339107.9,5540582.6,73.7
Q,200,107,-145.4,0,0,0,339133.2,5540540.2,72.7
Q,200,108,-143.6,0,0,0,339159.8,5540497.2,71.8
Q,200,109,-141.8,0,0,0,339187.3,5540453.9,70.9
Q,200,110,-139.8,0,0,0,339213.4,5540411.2,69.9
Q,200,111,-138,0,0,0,339243,5540368.1,69
Q,200,112,-136,0,0,0,339268.1,5540324.6,68
Q,200,113,-134.2,0,0,0,339296.6,5540282.2,67.1
Q,200,114,-132.2,0,0,0,339324.1,5540239.6,66.1
Q,200,115,-130.2,0,0,0,339349.3,5540196.4,65.1
Q,200,116,-128.2,0,0,0,339376.9,5540151.8,64.1
Q,200,117,-126.2,0,0,0,339402.8,5540110.2,63.1
Q,200,118,-124.2,0,0,0,339429.7,5540066.1,62.1
Q,200,119,-122.2,0,0,0,339458.9,5540023.2,61.1
Q,200,120,-120.2,0,0,0,339485.5,5539980.2,60.1
Q,200,121,-118.2,0,0,0,339510.6,5539936.4,59.1
Q,200,122,-116.2,0,0,0,339538.2,5539894.1,58.1
Q,200,123,-114,0,0,0,339565.2,5539851.4,57
Q,200,124,-112,0,0,0,339592.1,5539806.5,56
Q,200,125,-109.8,0,0,0,339618.3,5539764.4,54.9
Q,200,126,-107.8,0,0,0,339645.1,5539720.9,53.9
Q,200,127,-105.6,0,0,0,339673.4,5539677.2,52.8
Q,200,128,-103.4,0,0,0,339700.9,5539635,51.7
Q,200,129,-101.2,0,0,0,339727.9,5539592.2,50.6
Q,200,130,-99,0,0,0,339752.7,5539549.1,49.5
Q,200,131,-96.8,0,0,0,339779.8,5539505.3,48.4
Q,200,132,-94.4,0,0,0,339809.6,5539461.3,47.2
Q,200,133,-92.2,0,0,0,339834.3,5539418.7,46.1
Q,200,134,-110,0,0,0,339861.1,5539385,55
Q,200,135,-87.6,0,0,0,339888.4,5539332,43.8
Q,200,136,-85.2,0,0,0,339915.3,5539288.9,42.6
Q,200,137,-82.8,0,0,0,339942.1,5539245.4,41.4
Q,200,138,-80.4,0,0,0,339971.2,5539202.5,40.2
Q,200,139,-78,0,0,0,339996.9,5539159.8,39
Q,200,140,-75.4,0,0,0,340022.9,5539114.8,37.7
Q,200,141,-73,0,0,0,340050.8,5539071.8,36.5
Q,200,142,-70.4,0,0,0,340078.4,5539029,35.2
Q,200,143,-67.8,0,0,0,340104.3,5538985.3,33.9
Q,200,144,-65.2,0,0,0,340130.3,5538941.9,32.6
Q,200,145,-62.6,0,0,0,340158,5538898.5,31.3
Q,200,146,-59.8,0,0,0,340185.5,5538854.9,29.9
Q,200,147,-57,0,0,0,340212.5,5538812.4,28.5
Q,200,148,-54.2,0,0,0,340239.1,5538768.2,27.1
Q,200,149,-51.4,0,0,0,340265.2,5538724.8,25.7
Q,200,150,-48.4,0,0,0,340293.1,5538680.2,24.2
Q,200,151,-45.6,0,0,0,340319.5,5538636.7,22.8
Q,200,152,-42.4,0,0,0,340348.3,5538593.9,21.2
Q,200,153,-39.4,0,0,0,340375.2,5538550.3,19.7
Q,200,154,-36.2,0,0,0,340401.3,5538505.5,18.1
Q,200,155,-32.8,0,0,0,340428.5,5538463.1,16.4
Q,300,101,-154.4,0,0,0,339056.6,5540851.7,77.2
Q,300,102,-152.6,0,0,0,339084.1,5540808.8,76.3
Q,300,103,-150.8,0,0,0,339109.9,5540764.9,75.4
Q,300,104,-149,0,0,0,339136.2,5540722.3,74.5
Q,300,105,-147,0,0,0,339163.2,5540679.1,73.5
Q,300,106,-145.2,0,0,0,339190.8,5540636.1,72.6
Q,300,107,-143.4,0,0,0,339217.6,5540593.2,71.7
Q,300,108,-141.6,0,0,0,339244.8,5540550.7,70.8
Q,300,109,-139.6,0,0,0,339272,5540506,69.8
Q,300,110,-137.8,0,0,0,339298.6,5540463.5,68.9
Q,300,111,-135.8,0,0,0,339325.9,5540420,67.9
Q,300,112,-134,0,0,0,339354.5,5540377.1,67
Q,300,113,-132,0,0,0,339380.2,5540334.3,66
Q,300,114,-130,0,0,0,339406.5,5540290.6,65
