C_SU_MATCH,grnors,gaps,,,,,,,
C_SU_SETID,Q,,,,,,,,
C_SU_FORMS,,,,,,,,,
C_SU_ID,%.2f,%.2f,%.0f,%.0f,%.0f,%.1f,%.1f,%.1f,%.1f
C_SU_NAMES,,,,,,,,,
C_SU_ID,2_grnors_11,12_gaps_21,27_gstat_30,35_gdel_38,39_gut_40,41_gwdep_46,47_gx_55,56_gy_65,66_gelev_71
Q,100,101,-45,0,0,0,1000,2000,500
Q,100,102,-44,0,0,0,1012,2016,490
Q,100,103,-43,0,0,0,1024,2032,480
Q,100,104,-42,0,0,0,1036,2048,470
Q,100,105,-41,0,0,0,1048,2064,460
Q,100,106,-40.2,0,0,0,1060,2080,452
Q,100,107,-39,0,0,0,1072,2096,440
Q,100,108,-38,0,0,0,1084,2112,430
Q,100,109,-37,0,0,0,1096,2128,420
Q,100,110,-36,0,0,0,1108,2144,410
Q,100,111,-35,0,0,0,1120,2160,400
Q,100,112,-34.7,0,0,0,1132,2176,397
Q,100,113,-33,0,0,0,1144,2192,380
Q,100,114,-32,0,0,0,1156,2208,370
Q,100,115,-31,0,0,0,1168,2224,360
Q,100,116,-30,0,0,0,1180,2240,350
Q,100,117,-29,0,0,0,1192,2256,340
Q,100,118,-28,0,0,0,1204,2272,330
Q,100,119,-27,0,0,0,1216,2288,320
Q,100,120,-26,0,0,0,1228,2304,310
Q,100,121,-25,0,0,0,1240,2320,300
Q,100,122,-24,0,0,0,1252,2336,290
Q,100,123,-23,0,0,0,1264,2352,280
Q,100,124,-22,0,0,0,1276,2368,270
Q,100,125,-21.5,0,0,0,1288,2384,265
Q,100,126,-20,0,0,0,1300,2400,250
Q,100,127,-19,0,0,0,1312,2416,240
Q,100,128,-18,0,0,0,1324,2432,230
Q,100,129,-17,0,0,0,1336,2448,220
Q,100,130,-16,0,0,0,1348,2464,210
Q,100,131,-15,0,0,0,1360,2480,200
Q,100,132,-14,0,0,0,1372,2496,190
Q,100,133,-13,0,0,0,1384,2512,180
Q,100,134,-14,0,0,0,1396,2528,190
Q,100,135,-11,0,0,0,1408,2544,160
Q,100,136,-10,0,0,0,1420,2560,150
Q,100,137,-9,0,0,0,1432,2576,140
Q,100,138,-8,0,0,0,1444,2592,130
Q,100,139,-7,0,0,0,1456,2608,120
Q,100,140,-6,0,0,0,1468,2624,110
Q,100,141,-5,0,0,0,1480,2640,100
Q,100,142,-4,0,0,0,1492,2656,90
Q,100,143,-3,0,0,0,1504,2672,80
Q,100,144,-2,0,0,0,1516,2688,70
Q,100,145,-1,0,0,0,1528,2704,60
Q,100,146,0,0,0,0,1540,2720,50
Q,100,147,1,0,0,0,1552,2736,40
Q,100,148,2,0,0,0,1564,2752,30
Q,100,149,3,0,0,0,1576,2768,20
Q,100,150,4,0,0,0,1588,2784,10
Q,100,151,3.5,0,0,0,1600,2800,15
Q,100,152,3,0,0,0,1612,2816,20
Q,100,153,2.5,0,0,0,1624,2832,25
Q,100,154,2,0,0,0,1636,2848,30
Q,100,155,1.5,0,0,0,1648,2864,35
Q,100,156,1,0,0,0,1660,2880,40
Q,100,157,0.5,0,0,0,1672,2896,45
Q,100,158,0,0,0,0,1684,2912,50
Q,100,159,-0.5,0,0,0,1696,2928,55
Q,100,160,-1,0,0,0,1708,2944,60
Q,100,161,-1.5,0,0,0,1720,2960,65
Q,100,162,-2,0,0,0,1732,2976,70
Q,100,163,-2.5,0,0,0,1744,2992,75
Q,100,164,-3,0,0,0,1756,3008,80
Q,100,165,-3.5,0,0,0,1768,3024,85
Q,100,166,-4,0,0,0,1780,3040,90
Q,100,167,-4.5,0,0,0,1792,3056,95
Q,100,168,-8,0,0,0,1804,3072,130
Q,100,169,-5.5,0,0,0,1816,3088,105
Q,100,170,-6,0,0,0,1828,3104,110
Q,100,171,-6.5,0,0,0,1840,3120,115
Q,100,172,-7,0,0,0,1852,3136,120
Q,100,173,-7.5,0,0,0,1864,3152,125
Q,100,174,-8,0,0,0,1876,3168,130
Q,100,175,-8.5,0,0,0,1888,3184,135
Q,100,176,-9,0,0,0,1900,3200,140
Q,100,177,-9.5,0,0,0,1912,3216,145
Q,100,178,-10,0,0,0,1924,3232,150
Q,100,179,-10.5,0,0,0,1936,3248,155
Q,100,180,-11,0,0,0,1948,3264,160
Q,100,181,-11.5,0,0,0,1960,3280,165
Q,100,182,-12,0,0,0,1972,3296,170
Q,100,183,-12.5,0,0,0,1984,3312,175
Q,100,184,-13,0,0,0,1996,3328,180
Q,100,185,-13.5,0,0,0,2008,3344,185
Q,100,186,-14,0,0,0,2020,3360,190
Q,100,187,-14.5,0,0,0,2032,3376,195
Q,100,188,-15,0,0,0,2044,3392,200
Q,100,189,-16.4,0,0,0,2056,3408,214
Q,100,190,-16,0,0,0,2068,3424,210
Q,100,191,-16.5,0,0,0,2080,3440,215
Q,100,192,-17,0,0,0,2092,3456,220
Q,100,193,-17.5,0,0,0,2104,3472,225
Q,100,194,-18,0,0,0,2116,3488,230
Q,100,195,-18.5,0,0,0,2128,3504,235
Q,100,196,-19,0,0,0,2140,3520,240
Q,100,197,-19.5,0,0,0,2152,3536,245
Q,100,198,-20,0,0,0,2164,3552,250
Q,100,199,-20.5,0,0,0,2176,3568,255
Q,100,200,-21,0,0,0,2188,3584,260
Q,100,201,-21.5,0,0,0,2200,3600,265
Q,100,202,-22,0,0,0,2212,3616,270
Q,100,203,-22.5,0,0,0,2224,3632,275
Q,100,204,-23,0,0,0,2236,3648,280
Q,100,205,-23.5,0,0,0,2248,3664,285
Q,100,206,-24,0,0,0,2260,3680,290
Q,100,207,-24.5,0,0,0,2272,3696,295
Q,100,208,-25,0,0,0,2284,3712,300
Q,100,209,-25.5,0,0,0,2296,3728,305
Q,100,210,-26,0,0,0,2308,3744,310
Q,100,211,-26.5,0,0,0,2320,3760,315
Q,100,212,-27,0,0,0,2332,3776,320
Q,100,213,-27.5,0,0,0,2344,3792,325
Q,100,214,-28,0,0,0,2356,3808,330
Q,100,215,-28.5,0,0,0,2368,3824,335
Q,100,216,-29,0,0,0,2380,3840,340
Q,100,217,-29.5,0,0,0,2392,3856,345
Q,100,218,-30,0,0,0,2404,3872,350
Q,100,219,-30.5,0,0,0,2416,3888,355
Q,100,220,-31,0,0,0,2428,3904,360
Q,100,221,-31.5,0,0,0,2440,3920,365
Q,100,222,-32,0,0,0,2452,3936,370
Q,100,223,-32.5,0,0,0,2464,3952,375
Q,100,224,-32,0,0,0,2476,3968,370
Q,100,225,-33.5,0,0,0,2488,3984,385
Q,100,226,-34,0,0,0,2500,4000,390
Q,100,227,-34.5,0,0,0,2512,4016,395
Q,100,228,-35,0,0,0,2524,4032,400
Q,100,229,-35.5,0,0,0,2536,4048,405
Q,100,230,-36,0,0,0,2548,4064,410
Q,100,231,-36.5,0,0,0,2560,4080,415
Q,100,232,-37,0,0,0,2572,4096,420
Q,100,233,-37.5,0,0,0,2584,4112,425
Q,100,234,-38,0,0,0,2596,4128,430
Q,100,235,-38.5,0,0,0,2608,4144,435
Q,100,236,-39,0,0,0,2620,4160,440
Q,100,237,-39.5,0,0,0,2632,4176,445
Q,100,238,-40,0,0,0,2644,4192,450
Q,100,239,-40.5,0,0,0,2656,4208,455
Q,100,240,-41,0,0,0,2668,4224,460
Q,100,241,-41.5,0,0,0,2680,4240,465
Q,100,242,-42,0,0,0,2692,4256,470
Q,100,243,-42.5,0,0,0,2704,4272,475
Q,100,244,-43,0,0,0,2716,4288,480
Q,100,245,-43.5,0,0,0,2728,4304,485
Q,100,246,-44,0,0,0,2740,4320,490
Q,100,247,-44.5,0,0,0,2752,4336,495
Q,100,248,-45,0,0,0,2764,4352,500
Q,100,249,-45,0,0,0,2776,4368,500
Q,100,250,-45,0,0,0,2788,4384,500
Q,100,251,-45,0,0,0,2800,4400,500
Q,100,252,-45,0,0,0,2812,4416,500
Q,100,253,-45,0,0,0,2824,4432,500
Q,100,254,-45,0,0,0,2836,4448,500
Q,100,255,-45,0,0,0,2848,4464,500
Q,100,256,-45,0,0,0,2860,4480,500
Q,100,257,-45,0,0,0,2872,4496,500
Q,100,258,-45,0,0,0,2884,4512,500
Q,100,259,-45,0,0,0,2896,4528,500
Q,100,260,-45,0,0,0,2908,4544,500
Q,100,261,-45,0,0,0,2920,4560,500
