C_SU_MATCH,grnofr,grnlof,,,,,,,,
C_SU_SETID,Q,,,,,,,,,
C_SU_FORMS,,,,,,,,,,
C_SU_ID,%.2f,%.2f,%.0f,%.1f,%.0f,%.0f,%.1f,%.1f,%.1f,%.1f
C_SU_NAMES,,,,,,,,,,
C_SU_ID,2_grnofr_11,12_grnlof_21,27_sstat_30,31_sdepth_34,35_sdel_38,39_sut_40,41_swdep_46,47_sx_55,56_sy_65,66_selev_71
Q,100,102,-152.4,16,0,18,0,338931.7,5540693.4,78.7
Q,100,104,-150.4,16,0,18,0,339014.5,5540746.8,77.7
Q,100,106,-148.4,16,0,18,0,339098.9,5540800.1,76.7
Q,100,108,-146.2,16,0,18,0,339181.4,5540855.1,75.6
Q,100,110,-144,16,0,18,0,339268.3,5540908.4,74.5
Q,100,112,-141.8,16,0,18,0,339349.2,5540963.3,73.4
Q,100,114,-139.4,16,0,18,0,339435.5,5541016.1,72.2
Q,100,116,-137,16,0,18,0,339521.5,5541070.2,71
Q,100,118,-134.6,12,0,15,0,339602.4,5541123.5,69.8
Q,100,120,-132,16,0,18,0,339687.8,5541179.3,68.5
Q,300,102,-145.2,16,0,18,0,339041.4,5540525,75.1
Q,300,104,-143.2,16,0,18,0,339129.7,5540579.5,74.1
Q,300,106,-141,16,0,18,0,339215.8,5540632.3,73
Q,300,108,-138.8,16,0,18,0,339300.8,5540686.8,71.9
Q,300,110,-136.6,16,0,18,0,339386.8,5540741.3,70.8
Q,300,112,-134.4,7,0,10,0,339475.5,5540793.7,69.7
Q,300,114,-149,16,0,18,0,339559.7,5540849.2,77
Q,300,116,-129.6,16,0,18,0,339644.4,5540900.9,67.3
Q,300,118,-127,16,0,18,0,339734.1,5540955,66
Q,300,120,-124.6,16,0,18,0,339819.1,5541009.5,64.8
Q,500,102,-137.8,16,0,18,0,339144.5,5540356.9,71.4
Q,500,104,-135.8,16,0,18,0,339229.5,5540409.6,70.4
Q,500,106,-133.6,11,0,13,0,339314.7,5540463.3,69.3
Q,500,108,-131.4,16,0,18,0,339398.4,5540516.8,68.2
Q,500,110,-129.2,16,0,18,0,339484,5540571.2,67.1
Q,500,112,-126.8,16,0,18,0,339565.1,5540625.9,65.9
Q,500,114,-83,16,0,18,0,339650.8,5540679.3,44
Q,500,116,-122,16,0,18,0,339735.6,5540733.1,63.5
Q,500,118,-119.4,16,0,18,0,339820.9,5540787.8,62.2
Q,500,120,-116.8,16,0,18,0,339902.2,5540842.4,60.9
Q,700,102,-130.2,16,0,18,0,339255.4,5540188.6,67.6
Q,700,104,-128,16,0,18,0,339338.9,5540240.7,66.5
Q,700,106,-126,16,0,18,0,339421.6,5540296.4,65.5
Q,700,108,-123.6,16,0,18,0,339507.6,5540349.6,64.3
Q,700,110,-121.4,16,0,18,0,339591.8,5540403.2,63.2
Q,700,112,-119,16,0,18,0,339674.9,5540456.6,62
Q,700,114,-116.6,16,0,18,0,339760.6,5540512.1,60.8
Q,700,116,-114,16,0,18,0,339843.7,5540565.9,59.5
Q,700,118,-111.4,16,0,18,0,339927.3,5540619.4,58.2
Q,700,120,-108.8,16,0,18,0,340012.9,5540673.9,56.9
Q,900,102,-122.4,16,0,18,0,339363,5540018.3,63.7
Q,900,104,-120.2,16,0,18,0,339445.1,5540072.9,62.6
Q,900,106,-118,16,0,18,0,339528.3,5540128,61.5
Q,900,108,-115.8,16,0,18,0,339615.3,5540180.7,60.4
Q,900,110,-113.4,16,0,18,0,339699.2,5540235.3,59.2
Q,900,112,-67,16,0,18,0,339780.6,5540288.5,36
Q,900,114,-108.6,16,0,18,0,339867.4,5540341.7,56.8
Q,900,116,-106,16,0,18,0,339951.4,5540395.9,55.5
Q,900,118,-103.4,16,0,18,0,340036.9,5540449.5,54.2
Q,900,120,-100.6,16,0,18,0,340118.9,5540504.1,52.8
Q,1100,102,-114.2,16,0,18,0,339457.1,5539851.2,59.6
Q,1100,104,-112.2,16,0,18,0,339540.1,5539905.3,58.6
Q,1100,106,-110,14,0,12,0,339627.3,5539957.7,57.5
Q,1100,108,-107.6,16,0,18,0,339709.2,5540012.2,56.3
Q,1100,110,-105.2,16,0,18,0,339794.5,5540066.3,55.1
Q,1100,112,-102.8,16,0,18,0,339880.4,5540120.4,53.9
Q,1100,114,-100.2,16,0,18,0,339964.2,5540173.4,52.6
Q,1100,116,-97.6,16,0,18,0,340046.5,5540229.2,51.3
Q,1100,118,-95,16,0,18,0,340132.9,5540281.1,50
Q,1100,120,-92,16,0,18,0,340214.6,5540336.9,48.5
Q,1300,102,-106,16,0,18,0,339578.3,5539682.5,55.5
Q,1300,104,-103.8,16,0,18,0,339662.6,5539735.3,54.4
Q,1300,106,-101.6,16,0,18,0,339747.1,5539791.1,53.3
Q,1300,108,-99.2,16,0,18,0,339831,5539845.1,52.1
Q,1300,110,-96.8,16,0,18,0,339914.1,5539898.7,50.9
Q,1300,112,-94.4,16,0,18,0,339996.8,5539951.5,49.7
Q,1300,114,-91.8,16,0,18,0,340081.1,5540006.4,48.4
Q,1300,116,-89,16,0,18,0,340164.8,5540060.1,47
Q,1300,118,-86.2,16,0,18,0,340251,5540114.2,45.6
Q,1500,102,-97.2,16,0,18,0,339686.2,5539512.9,51.1
Q,1500,104,-95.2,16,0,18,0,339771.1,5539568.7,50.1
Q,1500,106,-92.8,16,0,18,0,339854.8,5539622.7,48.9
Q,1500,108,-90.6,16,0,18,0,339938.5,5539675,47.8
Q,1500,110,-61,16,0,18,0,340020.4,5539729.1,33
Q,1500,112,-85.6,16,0,18,0,340107.4,5539784.4,45.3
Q,1500,114,-82.8,16,0,18,0,340191.3,5539838,43.9
Q,1500,116,-80.2,16,0,18,0,340274.3,5539892,42.6
Q,1700,102,-88.2,16,0,18,0,339792.1,5539345.2,46.6
Q,1700,104,-86.2,16,0,18,0,339877.5,5539400.6,45.6
Q,1700,106,-83.8,16,0,18,0,339945.7,5539453,44.4
Q,1700,108,-81.4,16,0,18,0,340045.9,5539506.2,43.2
Q,1700,110,-79,16,0,18,0,340146.8,5539561,42
Q,1700,112,-76.4,16,0,18,0,340213.4,5539616.2,40.7
Q,1700,114,-73.8,16,0,18,0,340297.7,5539669.7,39.4
Q,1700,116,-70.8,16,0,18,0,340383.2,5539722.1,37.9
Q,1700,118,-68,16,0,18,0,340487.2,5539776.6,36.5
Q,1700,120,-64.8,16,0,18,0,340549.3,5539829.9,34.9
Q,1900,102,-105,16,0,18,0,339900.9,5539176.6,55
Q,1900,104,-76.8,16,0,18,0,339983.2,5539230.8,40.9
Q,1900,106,-74.4,16,0,18,0,340067.8,5539284.1,39.7
Q,1900,108,-72,16,0,18,0,340153.8,5539338.9,38.5
Q,1900,110,-69.6,16,0,18,0,340237.3,5539393.4,37.3
Q,1900,112,-67,16,0,18,0,340322.1,5539446.7,36
Q,1900,114,-64.2,16,0,18,0,340404.3,5539500.7,34.6
Q,1900,116,-61.2,16,0,18,0,340491.3,5539555.8,33.1
Q,1900,118,-58.2,16,0,18,0,340576.1,5539609.1,31.6
Q,1900,120,-55,16,0,18,0,340658.3,5539662.7,30
Q,2100,102,-69,16,0,18,0,340009.4,5539008.3,37
Q,2100,104,-66.8,16,0,18,0,340094.9,5539063.6,35.9
Q,2100,106,-64.6,16,0,18,0,340175.6,5539117.1,34.8
Q,2100,108,-62.2,16,0,18,0,340262.1,5539170.5,33.6
Q,2100,110,-59.6,16,0,18,0,340344.1,5539224.6,32.3
Q,2100,112,-57,16,0,18,0,340428.9,5539277.4,31
Q,2100,114,-54.2,16,0,18,0,340515.1,5539332.8,29.6
Q,2100,116,-51.2,8,0,10,0,340599.1,5539387.4,28.1
Q,2100,118,-48,16,0,18,0,340683,5539439.8,26.5
Q,2100,120,-44.8,16,0,18,0,340765.5,5539495.2,24.9
Q,2300,102,-58.6,16,0,18,0,340117.4,5538839.7,31.8
Q,2300,104,-39,16,0,18,0,340201,5538894.6,22
Q,2300,106,-54.2,16,0,18,0,340284.9,5538947,29.6
Q,2300,108,-51.8,16,0,18,0,340367.5,5539003.3,28.4
Q,2300,110,-49.4,16,0,18,0,340451.7,5539056.5,27.2
Q,2300,112,-46.6,16,0,18,0,340537.8,5539110.8,25.8
Q,2300,114,-43.8,16,0,18,0,340622.2,5539164.8,24.4
