
C_SU_MATCH,fldr,tracf
C_SU_SETID,X
C_SU_FORMS
C_SU_ID,%.0f,%.0f,%.0f,%.0f,%.2f,%.2f,%.0f,%.0f,%.0f,%.0f,%.2f,%.2f,%.2f,%.0f
C_SU_NAMES
C_SU_ID,2_numb2_7,8_match1_15,16_numb4_16,17_numb5_17,18_grnofr_27,28_grnlof_37,38_numb8_38,39_matche1_cf_43,44_matche1_ct_48,49_matche1_ci_49,50_grnors_59,60_gaps_rf_69,70_gaps_rt_79,80_numb15_80
X,10001,1,1,0,100,131,1,1,30,1,100,101,130,1
X,10001,1,1,0,100,131,1,31,60,1,100,132,161,1
X,10001,2,1,0,100,133,1,1,30,1,100,103,132,1
X,10001,2,1,0,100,133,1,31,60,1,100,134,163,1
X,10001,3,1,0,100,135,1,1,30,1,100,105,134,1
X,10001,3,1,0,100,135,1,31,60,1,100,136,165,1
X,10001,4,1,0,100,137,1,1,30,1,100,107,136,1
X,10001,4,1,0,100,137,1,31,60,1,100,138,167,1
X,10001,5,1,0,100,139,1,1,30,1,100,109,138,1
X,10001,5,1,0,100,139,1,31,60,1,100,140,169,1
X,10001,6,1,0,100,141,1,1,30,1,100,111,140,1
X,10001,6,1,0,100,141,1,31,60,1,100,142,171,1
X,10001,7,1,0,100,143,1,1,30,1,100,113,142,1
X,10001,7,1,0,100,143,1,31,60,1,100,144,173,1
X,10001,8,1,0,100,145,1,1,30,1,100,115,144,1
X,10001,8,1,0,100,145,1,31,60,1,100,146,175,1
X,10001,9,1,0,100,147,1,1,30,1,100,117,146,1
X,10001,9,1,0,100,147,1,31,60,1,100,148,177,1
X,10001,10,1,0,100,149,1,1,30,1,100,119,148,1
X,10001,10,1,0,100,149,1,31,60,1,100,150,179,1
X,10001,11,1,0,100,151,1,1,30,1,100,121,150,1
X,10001,11,1,0,100,151,1,31,60,1,100,152,181,1
X,10001,12,1,0,100,153,1,1,30,1,100,123,152,1
X,10001,12,1,0,100,153,1,31,60,1,100,154,183,1
X,10001,13,1,0,100,155,1,1,30,1,100,125,154,1
X,10001,13,1,0,100,155,1,31,60,1,100,156,185,1
X,10001,14,1,0,100,157,1,1,30,1,100,127,156,1
X,10001,14,1,0,100,157,1,31,60,1,100,158,187,1
X,10001,15,1,0,100,159,1,1,30,1,100,129,158,1
X,10001,15,1,0,100,159,1,31,60,1,100,160,189,1
X,10001,16,1,0,100,161,1,1,30,1,100,131,160,1
X,10001,16,1,0,100,161,1,31,60,1,100,162,191,1
X,10001,17,1,0,100,163,1,1,30,1,100,133,162,1
X,10001,17,1,0,100,163,1,31,60,1,100,164,193,1
X,10001,18,1,0,100,165,1,1,30,1,100,135,164,1
X,10001,18,1,0,100,165,1,31,60,1,100,166,195,1
X,10001,19,1,0,100,167,1,1,30,1,100,137,166,1
X,10001,19,1,0,100,167,1,31,60,1,100,168,197,1
X,10001,20,1,0,100,169,1,1,30,1,100,139,168,1
X,10001,20,1,0,100,169,1,31,60,1,100,170,199,1
X,10001,21,1,0,100,171,1,1,30,1,100,141,170,1
X,10001,21,1,0,100,171,1,31,60,1,100,172,201,1
X,10001,22,1,0,100,173,1,1,30,1,100,143,172,1
X,10001,22,1,0,100,173,1,31,60,1,100,174,203,1
X,10001,23,1,0,100,175,1,1,30,1,100,145,174,1
X,10001,23,1,0,100,175,1,31,60,1,100,176,205,1
X,10001,24,1,0,100,177,1,1,30,1,100,147,176,1
X,10001,24,1,0,100,177,1,31,60,1,100,178,207,1
X,10001,25,1,0,100,179,1,1,30,1,100,149,178,1
X,10001,25,1,0,100,179,1,31,60,1,100,180,209,1
X,10001,26,1,0,100,181,1,1,30,1,100,151,180,1
X,10001,26,1,0,100,181,1,31,60,1,100,182,211,1
X,10001,27,1,0,100,183,1,1,30,1,100,153,182,1
X,10001,27,1,0,100,183,1,31,60,1,100,184,213,1
X,10001,28,1,0,100,185,1,1,30,1,100,155,184,1
X,10001,28,1,0,100,185,1,31,60,1,100,186,215,1
X,10001,29,1,0,100,187,1,1,30,1,100,157,186,1
X,10001,29,1,0,100,187,1,31,60,1,100,188,217,1
X,10001,30,1,0,100,189,1,1,30,1,100,159,188,1
X,10001,30,1,0,100,189,1,31,60,1,100,190,219,1
X,10001,31,1,0,100,191,1,1,30,1,100,161,190,1
X,10001,31,1,0,100,191,1,31,60,1,100,192,221,1
X,10001,32,1,0,100,193,1,1,30,1,100,163,192,1
X,10001,32,1,0,100,193,1,31,60,1,100,194,223,1
X,10001,33,1,0,100,195,1,1,30,1,100,165,194,1
X,10001,33,1,0,100,195,1,31,60,1,100,196,225,1
X,10001,34,1,0,100,197,1,1,30,1,100,167,196,1
X,10001,34,1,0,100,197,1,31,60,1,100,198,227,1
X,10001,35,1,0,100,199,1,1,30,1,100,169,198,1
X,10001,35,1,0,100,199,1,31,60,1,100,200,229,1
X,10001,36,1,0,100,201,1,1,30,1,100,171,200,1
X,10001,36,1,0,100,201,1,31,60,1,100,202,231,1
X,10001,37,1,0,100,203,1,1,30,1,100,173,202,1
X,10001,37,1,0,100,203,1,31,60,1,100,204,233,1
X,10001,38,1,0,100,205,1,1,30,1,100,175,204,1
X,10001,38,1,0,100,205,1,31,60,1,100,206,235,1
X,10001,39,1,0,100,207,1,1,30,1,100,177,206,1
X,10001,39,1,0,100,207,1,31,60,1,100,208,237,1
X,10001,40,1,0,100,209,1,1,30,1,100,179,208,1
X,10001,40,1,0,100,209,1,31,60,1,100,210,239,1
X,10001,41,1,0,100,211,1,1,30,1,100,181,210,1
X,10001,41,1,0,100,211,1,31,60,1,100,212,241,1
X,10001,42,1,0,100,213,1,1,30,1,100,183,212,1
X,10001,42,1,0,100,213,1,31,60,1,100,214,243,1
X,10001,43,1,0,100,215,1,1,30,1,100,185,214,1
X,10001,43,1,0,100,215,1,31,60,1,100,216,245,1
X,10001,44,1,0,100,217,1,1,30,1,100,187,216,1
X,10001,44,1,0,100,217,1,31,60,1,100,218,247,1
X,10001,45,1,0,100,219,1,1,30,1,100,189,218,1
X,10001,45,1,0,100,219,1,31,60,1,100,220,249,1
X,10001,46,1,0,100,221,1,1,30,1,100,191,220,1
X,10001,46,1,0,100,221,1,31,60,1,100,222,251,1
X,10001,47,1,0,100,223,1,1,30,1,100,193,222,1
X,10001,47,1,0,100,223,1,31,60,1,100,224,253,1
X,10001,48,1,0,100,225,1,1,30,1,100,195,224,1
X,10001,48,1,0,100,225,1,31,60,1,100,226,255,1
X,10001,49,1,0,100,227,1,1,30,1,100,197,226,1
X,10001,49,1,0,100,227,1,31,60,1,100,228,257,1
X,10001,50,1,0,100,229,1,1,30,1,100,199,228,1
X,10001,50,1,0,100,229,1,31,60,1,100,230,259,1
X,10001,51,1,0,100,231,1,1,30,1,100,201,230,1
X,10001,51,1,0,100,231,1,31,60,1,100,232,261,1
X,10001,52,1,0,100,233,1,1,30,1,100,203,232,1
X,10001,52,1,0,100,233,1,31,60,1,100,234,263,1
X,10001,53,1,0,100,235,1,1,30,1,100,205,234,1
X,10001,53,1,0,100,235,1,31,60,1,100,236,265,1
X,10001,54,1,0,100,237,1,1,30,1,100,207,236,1
X,10001,54,1,0,100,237,1,31,60,1,100,238,267,1
