C_SU_SETID,Q
C_SU_FORMS
C_SU_ID,%.20g,%.20g,%g,%g,%g,%g,%g,%g,%g,%g,%g,%g,%g,%g,%g
C_SU_NAMES
C_SU_ID,fred,cdp,cdpt,numa,tnmo,vnmo,tupb,tnmo,vnmo,tupb,tnmo,vnmo,tupb,tnmo,vnmo,tupb
Q,7,41,1,51,0,1800,10,190,3500,22,450,4000,30,800,5000,46
Q,8,101,1,111,0,2800,10,190,5500,22,450,6000,30,800,8000,46
Q,9,21,1,31,0,1200,10,190,2000,22,450,4000,30,800,5000,46
Q,11,1473,1,1483,0,3333,10,200,5555,22,500,6666,30
Q,14,1493,1,1503,0,1800,10,190,3500,22,450,4000,30,800,5000,46
Q,6,1533,1,1543,0,1800,10,190,3500,22,450,4000,30,800,5000,46
Q,4,1553,1,1563,0,1800,10,190,3500,22,450,4000,30,800,5000,46
Q,19,2683,1,2693,0,1200,10,190,2000,22,450,4000,30,800,5000,46
Q,22,2703,1,2713,0,1800,10,190,3500,22,450,4000,30,800,5000,46
Q,44,2743,1,2753,0,1800,10,190,3500,22,450,4000,30,800,5000,46,900,5500,57
Q,33,2763,1,2773,0,2800,10,190,5500,22,450,6000,30,800,8000,46
Q,22,81,1,91,0,1800,10,190,3500,22,450,4000,30,800,5000,46
