C_SU_SETID,Q
C_SU_FORMS
C_SU_ID,%.20g,%.20g,%g,%g,%g,%g,%g,%g,%g,%g,%g,%g,%g,%g,%g
C_SU_NAMES
C_SU_ID,fred,cdp,cdpt,numa,tnmo,dpth,vnmo,tnmo,dpth,vnmo,tnmo,dpth,vnmo,tnmo,dpth,vnmo
Q,7,41,1,51,0,10,1800,190,22,3500,450,30,4000,800,46,5000
Q,8,101,1,111,0,10,2800,190,22,5500,450,30,6000,800,46,8000
Q,9,21,1,31,0,10,1200,190,22,2000,450,30,4000,800,46,5000
Q,22,1473,1,1483,0,10,3333,200,22,5555,500,30,6666
Q,23,1493,1,1503,0,10,1800,190,22,3500,450,30,4000,800,46,5000
Q,37,1533,1,1543,0,10,1800,190,22,3500,450,30,4000,800,46,5000
Q,44,1553,1,1563,0,10,1800,190,22,3500,450,30,4000,800,46,5000
Q,21,2683,1,2693,0,10,1200,190,22,2000,450,30,4000,800,46,5000
Q,11,2703,1,2713,0,10,1800,190,22,3500,450,30,4000,800,46,5000
Q,14,2743,1,2753,0,10,1800,190,22,3500,450,30,4000,800,46,5000,900,57,5500
Q,16,2763,1,2773,0,10,2800,190,22,5500,450,30,6000,800,46,8000
Q,55,81,1,91,0,10,1800,190,22,3500,450,30,4000,800,46,5000
