C_SU_SETID,Q
C_SU_FORMS
C_SU_ID,%.20g,%.20g,%8.0f,%8.0f,%8.0f,%8.0f
C_SU_NDIMS,tnmo,,0,0.004,0.008,0.012
C_SU_NAMES
C_SU_ID,cdp,cdpt,vnmo,vnmo,vnmo,vnmo
Q,136,1, 1000136, 2000015, 3000002, 4000000
Q,172,1, 1000172, 2000051, 3000002, 4000000
Q,182,1, 1000182, 2000061, 3000002, 4000000
Q,212,1, 1000212, 2000091, 3000002, 4000000
Q,232,1, 1000232, 2000111, 3000002, 4000000
Q,257,1, 1000257, 2000015, 3000003, 4000000
Q,293,1, 1000293, 2000051, 3000003, 4000000
Q,303,1, 1000303, 2000061, 3000003, 4000000
Q,333,1, 1000333, 2000091, 3000003, 4000000
Q,353,1, 1000353, 2000111, 3000003, 4000000
Q,620,1, 1000620, 2000015, 3000006, 4000000
Q,656,1, 1000656, 2000051, 3000006, 4000000
Q,666,1, 1000666, 2000061, 3000006, 4000000
Q,696,1, 1000696, 2000091, 3000006, 4000000
Q,716,1, 1000716, 2000111, 3000006, 4000000
