C_SU_MATCH,grnofr,grnlof,,,,,,,,
C_SU_SETID,S,,,,,,,,,
C_SU_FORMS,,,,,,,,,,
C_SU_ID,%.2f,%.2f,%.0f,%.1f,%.0f,%.0f,%.1f,%.1f,%.1f,%.1f
C_SU_NAMES,,,,,,,,,,
C_SU_ID,2_grnofr_11,12_grnlof_21,27_sstat_30,31_sdepth_34,35_sdel_38,39_sut_40,41_swdep_46,47_sx_55,56_sy_65,66_selev_71
S,100,101,0,0,0,0,0,2525,0,0
S,100,102,0,0,0,0,0,2550,0,49.9791692706783
S,100,103,0,0,0,0,0,2575,0,99.8334166468282
S,100,104,0,0,0,0,0,2600,0,149.438132473599
S,100,105,0,0,0,0,0,2625,0,198.669330795061
S,100,106,0,0,0,0,0,2650,0,247.403959254523
S,100,107,0,0,0,0,0,2675,0,295.52020666134
S,100,108,0,0,0,0,0,2700,0,342.897807455451
S,100,109,0,0,0,0,0,2725,0,389.41834230865
S,100,110,0,0,0,0,0,2750,0,434.96553411123
S,100,111,0,0,0,0,0,2775,0,479.425538604203
S,100,112,0,0,0,0,0,2800,0,522.687228930659
S,100,113,0,0,0,0,0,2825,0,564.642473395035
S,100,114,0,0,0,0,0,2850,0,605.18640573604
S,100,115,0,0,0,0,0,2875,0,644.217687237691
S,100,116,0,0,0,0,0,2900,0,681.638760023334
S,100,117,0,0,0,0,0,2925,0,717.356090899523
S,100,118,0,0,0,0,0,2950,0,751.280405140293
S,100,119,0,0,0,0,0,2975,0,783.326909627483
S,100,120,0,0,0,0,0,3000,0,813.415504789374
S,100,121,0,0,0,0,0,3025,0,841.470984807896
S,100,122,0,0,0,0,0,3050,0,867.423225594017
S,100,123,0,0,0,0,0,3075,0,891.207360061435
S,100,124,0,0,0,0,0,3100,0,912.763940260521
S,100,125,0,0,0,0,0,3125,0,932.039085967226
S,100,126,0,0,0,0,0,3150,0,948.984619355586
S,100,127,0,0,0,0,0,3175,0,963.558185417193
S,100,128,0,0,0,0,0,3200,0,975.723357826659
S,100,129,0,0,0,0,0,3225,0,985.44972998846
S,100,130,0,0,0,0,0,3250,0,992.712991037588
S,100,131,0,0,0,0,0,3275,0,997.494986604055
S,100,132,0,0,0,0,0,3300,0,999.783764189357
S,100,133,0,0,0,0,0,3325,0,999.573603041505
S,100,134,0,0,0,0,0,3350,0,996.865028453919
S,100,135,0,0,0,0,0,3375,0,991.664810452468
S,100,136,0,0,0,0,0,3400,0,983.985946873937
S,100,137,0,0,0,0,0,3425,0,973.847630878195
S,100,138,0,0,0,0,0,3450,0,961.2752029753
S,100,139,0,0,0,0,0,3475,0,946.300087687414
S,100,140,0,0,0,0,0,3500,0,928.959715003869
S,100,141,-16,0,0,0,0,3525,0,909.297426825682
S,100,142,0,0,0,0,0,3550,0,887.362368633375
S,100,143,0,0,0,0,0,3575,0,863.209366648874
S,100,144,0,0,0,0,0,3600,0,836.898790798498
S,100,145,0,0,0,0,0,3625,0,808.49640381959
S,100,146,0,0,0,0,0,3650,0,778.073196887921
S,100,147,0,0,0,0,0,3675,0,745.70521217672
S,100,148,0,0,0,0,0,3700,0,711.473352790844
S,100,149,0,0,0,0,0,3725,0,675.463180551151
S,100,150,0,0,0,0,0,3750,0,637.764702134504
S,100,151,9.23,0,0,0,0,3775,0,598.472144103956
S,100,152,0,0,0,0,0,3800,0,557.683717391417
S,100,153,0,0,0,0,0,3825,0,515.501371821464
S,100,154,0,0,0,0,0,3850,0,472.030541289883
S,100,155,0,0,0,0,0,3875,0,427.37988023383
S,100,156,0,0,0,0,0,3900,0,381.660992052332
S,100,157,0,0,0,0,0,3925,0,334.988150155905
S,100,158,0,0,0,0,0,3950,0,287.478012342544
S,100,159,0,0,0,0,0,3975,0,239.249329213982
S,100,160,0,0,0,0,0,4000,0,190.422647361027
S,100,161,0,0,0,0,0,4025,0,141.120008059867
S,100,162,0,0,0,0,0,4050,0,91.4646422324372
S,100,163,0,0,0,0,0,4075,0,41.5806624332905
S,100,164,0,0,0,0,0,4100,0,-8.40724736714862
S,100,165,0,0,0,0,0,4125,0,-58.3741434275801
S,100,166,0,0,0,0,0,4150,0,-108.195134530108
S,100,167,0,0,0,0,0,4175,0,-157.745694143248
S,100,168,0,0,0,0,0,4200,0,-206.9019716734
S,100,169,20,0,0,0,0,4225,0,-255.541102026831
S,100,170,0,0,0,0,0,4250,0,-303.541512708429
S,100,171,0,0,0,0,0,4275,0,-350.78322768962
S,100,172,0,0,0,0,0,4300,0,-397.14816728596
S,100,173,0,0,0,0,0,4325,0,-442.520443294852
S,100,174,0,0,0,0,0,4350,0,-486.786648655699
S,100,175,0,0,0,0,0,4375,0,-529.836140908493
S,100,176,0,0,0,0,0,4400,0,-571.561318742344
S,100,177,0,0,0,0,0,4425,0,-611.857890942719
S,100,178,0,0,0,0,0,4450,0,-650.625137065167
S,100,179,0,0,0,0,0,4475,0,-687.766159183974
S,100,180,0,0,0,0,0,4500,0,-723.188124086512
S,100,181,0,0,0,0,0,4525,0,-756.802495307928
S,100,182,0,0,0,0,0,4550,0,-788.525254426195
