C_SU_MATCH,cdp
C_SU_SETID,R,
C_SU_NAMES,,
C_SU_ID,tracf,cdp
R,1,5
R,2,6
R,3,7
R,4,8
R,5,9
R,6,10
R,7,11
R,8,12
R,9,13
R,10,14
R,11,15
R,12,16
R,13,17
R,14,18
R,15,19
R,16,20
R,17,21
R,18,22
R,19,23
R,20,24
R,21,25
R,22,26
R,23,27
R,24,28
R,25,29
R,26,30
R,27,31
R,28,32
R,29,33
R,30,34
R,31,35
R,32,36
R,33,37
R,34,38
R,35,39
R,36,40
R,37,41
R,38,42
R,39,43
R,40,44
R,41,45
R,42,46
R,43,47
R,44,48
R,45,49
R,46,50
R,47,51
R,48,52
R,49,53
R,50,54
