C_SU_SETID,Q
C_SU_FORMS
C_SU_ID,%.20g,%.20g,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f
C_SU_NDIMS,tnmo,,,0,100,200,300,400,500,600,700,800,900,1000
C_SU_NAMES
C_SU_ID,cdp,cdpt,tstat,vnmo,vnmo,vnmo,vnmo,vnmo,vnmo,vnmo,vnmo,vnmo,vnmo,vnmo
Q,11,1,10.00,1200.00,1621.05,2076.92,2846.15,3615.38,4000.00,4000.00,4000.00,4000.00,4000.00,4000.00
Q,12,1,10.50,1217.02,1647.55,2111.61,2875.93,3628.32,4006.79,4018.55,4028.30,4036.49,4036.49,4036.49
Q,13,1,11.00,1234.79,1675.39,2148.10,2906.65,3641.39,4013.62,4037.35,4057.22,4074.00,4074.00,4074.00
Q,14,1,11.50,1253.36,1704.69,2186.54,2938.39,3654.61,4020.49,4056.43,4086.77,4112.58,4112.58,4112.58
Q,15,1,12.00,1272.79,1735.58,2227.13,2971.18,3667.97,4027.39,4075.77,4116.97,4152.27,4152.27,4152.27
Q,16,1,12.50,1293.16,1768.22,2270.07,3005.10,3681.47,4034.33,4095.40,4147.85,4193.14,4193.14,4193.14
Q,17,1,13.00,1314.53,1802.77,2315.58,3040.21,3695.13,4041.30,4115.31,4179.43,4235.24,4235.24,4235.24
Q,18,1,13.50,1337.01,1839.43,2363.95,3076.58,3708.94,4048.30,4135.52,4211.75,4278.63,4278.63,4278.63
Q,19,1,14.00,1360.67,1878.42,2415.49,3114.29,3722.91,4055.35,4156.02,4244.83,4323.38,4323.38,4323.38
Q,20,1,14.50,1385.64,1919.99,2470.55,3153.41,3737.03,4062.43,4176.84,4278.71,4369.56,4369.56,4369.56
Q,21,1,15.00,1412.04,1964.46,2529.55,3194.05,3751.32,4069.55,4197.97,4313.40,4417.26,4417.26,4417.26
Q,22,1,15.50,1440.00,2012.17,2592.99,3236.31,3765.78,4076.71,4219.42,4348.96,4466.56,4466.56,4466.56
Q,23,1,16.00,1469.69,2063.53,2661.46,3280.28,3780.40,4083.90,4241.21,4385.41,4517.54,4517.54,4517.54
Q,24,1,16.50,1501.30,2119.03,2735.66,3326.10,3795.19,4091.13,4263.33,4422.79,4570.31,4570.31,4570.31
