C_SU_SETID,Q
C_SU_FORMS
C_SU_ID,%.20g,%.20g,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f
C_SU_NDIMS,tnmo,,,0,100,200,300,400,500,600,700,800
C_SU_NAMES
C_SU_ID,cdp,cdpt,tstat,vnmo,vnmo,vnmo,vnmo,vnmo,vnmo,vnmo,vnmo,vnmo
Q,11,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,12,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,13,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,14,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,15,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,16,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,17,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,18,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,19,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,20,1,  110.00,  1900.00,  2750.00,  3600.00,  3766.67,  4033.33,  4400.00,  4733.33, 4800.00, 5500.00
Q,21,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,22,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,23,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,24,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,25,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,26,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,27,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,28,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,29,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,30,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,31,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,32,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,33,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,34,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,35,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,36,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,37,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,38,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,39,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,40,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,41,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,42,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,43,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,44,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,45,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,46,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,47,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,48,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,49,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,50,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,51,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,52,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,53,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,54,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,55,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,56,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,57,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,58,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,59,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,60,1,  110.00,  1900.00,  2750.00,  3600.00,  3766.67,  4033.33,  4400.00,  4733.33, 4800.00, 5500.00
Q,61,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,62,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,63,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,64,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,65,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,66,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,67,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,68,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,69,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,70,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,71,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,72,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,73,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,74,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,75,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,76,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,77,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,78,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,79,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,80,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,81,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,82,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,83,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,84,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,85,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,86,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,87,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,88,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,89,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,90,1,10.00,1800.00,2650.00,3500.00,3666.67,3833.33,4000.00,4333.33,4666.67,5000.00
Q,91,1,  110.00,  1900.00,  2750.00,  3600.00,  3766.67,  4033.33,  4400.00,  4733.33, 4800.00, 5500.00
