C_SU_SETID,Q
C_SU_FORMS
C_SU_ID,%.20g,%.20g,%.20g,%.20g,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f
C_SU_NDIMS,tnmo,,,,,,,,,0,100,200,300,400,500,600,700,800,900,1000
C_SU_NAMES
C_SU_ID,cdp,cdpt,igi,igc,gx,gy,sx,sy,tstat,vnmo,vnmo,vnmo,vnmo,vnmo,vnmo,vnmo,vnmo,vnmo,vnmo,vnmo
Q,1,1,1,1,0.00,0.00,338800.00,5540700.00,2.10,1200.00,1621.05,2076.92,2846.15,3615.38,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,2,24,2,1,25.00,0.00,338812.49,5540678.35,2.10,1200.00,1621.05,2076.92,2846.15,3615.38,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,3,47,3,1,50.00,0.00,338824.99,5540656.69,2.10,1200.00,1621.05,2076.92,2846.15,3615.38,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,4,70,4,1,75.00,0.00,338837.48,5540635.04,2.10,1200.00,1621.05,2076.92,2846.15,3615.38,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,5,93,5,1,100.00,0.00,338849.97,5540613.38,2.10,1200.00,1621.05,2076.92,2846.15,3615.38,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,6,116,6,1,125.00,0.00,338862.47,5540591.73,2.10,1200.00,1621.05,2076.92,2846.15,3615.38,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,7,139,7,1,150.00,0.00,338874.96,5540570.07,2.10,1200.00,1621.05,2076.92,2846.15,3615.38,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,8,162,8,1,175.00,0.00,338887.45,5540548.42,2.10,1200.00,1621.05,2076.92,2846.15,3615.38,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,9,185,9,1,200.00,0.00,338899.94,5540526.76,2.10,1200.00,1621.05,2076.92,2846.15,3615.38,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
Q,10,208,10,1,225.00,0.00,338912.44,5540505.11,2.10,1200.00,1621.05,2076.92,2846.15,3615.38,4142.86,4428.57,4714.29,5000.00,5000.00,5000.00
