C_SU_SETID,Q
C_SU_FORMS
C_SU_ID,%.20g,%.20g,%.20g,%.20g,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f,%.2f
C_SU_NDIMS,tnmo,,,,,,,,,,,,,0,0,100,100,200,200,300,300,400,400,500,500
C_SU_NAMES
C_SU_ID,cdp,cdpt,igi,testigc,gx,gy,sx,testsy,gelev,selev,sstat,gstat,tstat,dpth,vnmo,dpth,vnmo,dpth,vnmo,dpth,vnmo,dpth,vnmo,dpth,vnmo
Q,1,1,1,1,0.00,0.00,339448.81,5539775.51,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,2,21,2,1,25.00,0.00,339461.30,5539753.86,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,3,41,3,1,50.00,0.00,339473.79,5539732.20,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,4,61,4,1,75.00,0.00,339486.29,5539710.55,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,5,81,5,1,100.00,0.00,339498.78,5539688.89,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,6,101,6,1,125.00,0.00,339511.27,5539667.24,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
Q,7,121,7,1,150.00,0.00,339523.76,5539645.59,50.00,30.00,-20.00,-40.00,-10.00,0.00,0.00,200.00,1000.00,400.00,2000.00,600.00,3000.00,800.00,4000.00,800.00,4000.00
